,COUNTRY,Dryland Systems_12,Humid Tropics_12,AAS_12,PIM_12,Wheat_12,Maize_12,GRiSP_12,RTB_12,Grain Legumes_12,Dryland Cereals_12,Livestock and Fish_12,A4NH_12,WLE_12,FTA_12,CCAFS_12,Genebanks,A4NH_13,AAS_13,CCAFS_13,Dryland Cereals_13,Dryland Systems_13,FTA_13,GRiSP_13,Grain Legumes_13,Humid Tropics_13,Livestock and Fish_13,Maize_13,PIM_13,RTB_13,WLE_13,Wheat_13,Genebanks_12,Genebanks_13
76,Mali,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0
77,Mauritania,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Mauritius,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
79,Mexico,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0
80,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
81,Morocco,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
82,Mozambique,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
83,Myanmar,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
84,Namibia,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Nepal,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0
86,Netherlands,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
