CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,Location Type,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
3.6,3.2.2,,3.2,,,,,,barley,Plant breeding technology|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.3,,3.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.4,,3.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.5,,3.2,,,,,,finger millet,Tolerance of environmental pressure varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.6,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.7,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.8,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.1,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.10,,3.3,,,,,,pearl millet,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.11,,3.3,,,,,,pearl millet,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.12,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.13,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.14,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.2,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.3,,3.3,,,,,,barley,Plant breeding technology|Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.4,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.5,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.6,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.7,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.8,,3.3,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.9,,3.3,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.1,,3.4,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.2,,3.4,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.3,,3.4,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.4,,3.4,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.5,,3.4,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.4.6,,3.4,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.1,,3.5 Enhanced nutritional grain,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.2,,3.5 Enhanced nutritional grain,,,,,,barley,Plant breeding technology|Livestock technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Animal nutrition & Feeds,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.3,,3.5 Enhanced nutritional grain,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.5.4,,3.5 Enhanced nutritional grain,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
